AUV-7731, STRADA, FIAT, 168763, azul, alcool
QLZ-4313, 207, PEUGEOT, 66768, branco, gnv
QZW-8267, DUSTER, RENAULT, 223898, branco, gnv
BXT-6317, TORO, FIAT, 201045, cinza, gnv
MKN-5904, FIESTA, FORD, 73144, cinza, gnv
WWE-8763, MOBI, FIAT, 162241, marrom, gnv
UIZ-2061, VOYAGE, VOLKSWAGEN, 197723, prata, gnv
FNG-7631, FOX, VOLKSWAGEN, 25693, prata, gnv
CEG-8952, FIESTA, FORD, 29083, preto, gnv
HRQ-3460, A3, AUDI, 54415, verde, gnv
XRC-5445, PALIO, FIAT, 119598, verde, gnv
AAH-3632, CIVIC, HONDA, 65736, verde, gnv
GLK-9401, LOGAN, RENAULT, 49015, verde, gnv
HXC-4157, C3, CITROËN, 72968, vermelho, gnv
DKJ-8293, MARCH, NISSAN, 24677, vermelho, gnv
FQE-3258, SANDERO, RENAULT, 143135, vermelho, gnv
